Commodity,Geolocation,Year,CPI
Corn,Ilocos Sur,2015,109.2
Corn,La Union,2015,122.4
Corn,Pangasinan,2015,130.2
Corn,Region II (Cagayan Valley),2015,98.3
Corn,Batanes,2015,100.4
Corn,Cagayan,2015,95.2
Corn,Isabela,2015,99.5
Corn,Nueva Vizcaya,2015,96.3
Corn,Quirino,2015,108.1
Corn,Region III (Central Luzon),2015,100.2
Corn,Bataan,2015,109.4
Corn,Bulacan,2015,91.5
Corn,Nueva Ecija,2015,91.7
Corn,Pampanga,2015,111.7
Corn,Tarlac,2015,99.4
Corn,Zambales,2015,124.5
Corn,Aurora,2015,112.1
Corn,Region IV-A (CALABARZON),2015,104.6
Corn,Batangas,2015,104.5
Corn,Cavite,2015,71.8
Corn,Laguna,2015,97.9
Corn,Quezon,2015,116.6
Corn,Rizal,2015,127.5
Corn,Region IV-B (MIMAROPA),2015,117.2
Corn,Marinduque,2015,152.0
Corn,Mindoro Occidental,2015,100.8
Corn,Mindoro Oriental,2015,130.9
Corn,Palawan,2015,120.1
Corn,Romblon,2015,107.4
Corn,Region V (Bicol Region),2015,106.2
Corn,Albay,2015,99.3
Corn,Camarines Norte,2015,125.6
Corn,Camarines Sur,2015,99.9
Corn,Catanduanes,2015,144.9
Corn,Masbate,2015,105.2
Corn,Sorsogon,2015,125.2
Corn,Region VI (Western Visayas),2015,110.8
Corn,Aklan,2015,113.2
Corn,Antique,2015,114.8
Corn,Capiz,2015,125.0
Corn,Iloilo,2015,118.8
Corn,Negros Occidental,2015,108.5
Corn,Guimaras,2015,116.7
Corn,Region VII (Central Visayas),2015,114.0
Corn,Bohol,2015,111.4
Corn,Cebu,2015,125.3
Corn,Negros Oriental,2015,96.6
Corn,Siquijor,2015,104.0
Corn,Region VIII (Eastern Visayas),2015,128.0
Corn,Eastern Samar,2015,0.0
Corn,Leyte,2015,122.3
Corn,Northern Samar,2015,201.1
Corn,Western Samar,2015,131.4
Corn,Southern Leyte,2015,123.9
Corn,Biliran,2015,108.3
Corn,Region IX (Zamboanga Peninsula),2015,105.2
Corn,Zamboanga Del Norte,2015,112.2
Corn,Zamboanga Del Sur,2015,98.7
Corn,Zamboanga Sibugay,2015,104.5
Corn,City of Isabela,2015,109.1
Corn,Region X (Northern Mindanao),2015,105.2
Corn,Bukidnon,2015,97.6
Corn,Camiguin,2015,114.7
Corn,Lanao Del Norte,2015,98.1
Corn,Misamis Occidental,2015,86.9
Corn,Misamis Oriental,2015,134.6
Corn,Region XI (Davao Region),2015,112.2
Corn,Davao Del Norte,2015,123.0
Corn,Davao Del Sur,2015,107.8
Corn,Davao Oriental,2015,111.2
Corn,Compostela Valley,2015,106.7
Corn,Region XII (SOCCSKSARGEN),2015,122.0
Corn,North Cotabato,2015,106.9
Corn,South Cotabato,2015,108.1
Corn,Sultan Kudarat,2015,113.7
Corn,Saranggani,2015,111.7
Corn,City of Cotabato,2015,145.0
Corn,Region XIII (Caraga),2015,103.3
Corn,Agusan Del Norte,2015,104.5
Corn,Agusan Del Sur,2015,102.1
Corn,Surigao Del Norte,2015,106.0
Corn,Surigao Del Sur,2015,107.4
Corn,Dinagat Island,2015,108.1
Corn,Autonomous Region in Muslim Mindanao (ARMM),2015,114.5
Corn,Basilan,2015,103.3
Corn,Lanao Del Sur,2015,130.7
Corn,Maguindanao,2015,99.7
Corn,Sulu,2015,109.6
Corn,Tawi-Tawi,2015,114.6
Fruit (ND),National Capital Region (NCR),2015,113.5
Fruit (ND),Cordillera Administrative Region (CAR),2015,122.0
Fruit (ND),Abra,2015,122.4
Fruit (ND),Benguet,2015,132.5
Fruit (ND),Ifugao,2015,116.8
Fruit (ND),Kalinga,2015,103.0
Fruit (ND),Mt Province,2015,109.0
Fruit (ND),Apayao,2015,104.8
Fruit (ND),Region I (Ilocos Region),2015,114.5
Fruit (ND),Ilocos Norte,2015,127.8
Fruit (ND),Ilocos Sur,2015,111.7
Fruit (ND),La Union,2015,120.0
Fruit (ND),Pangasinan,2015,110.9
Fruit (ND),Region II (Cagayan Valley),2015,104.6
Fruit (ND),Batanes,2015,123.8
Fruit (ND),Cagayan,2015,105.4
Fruit (ND),Isabela,2015,100.6
Fruit (ND),Nueva Vizcaya,2015,112.9
Fruit (ND),Quirino,2015,111.7
Fruit (ND),Region III (Central Luzon),2015,115.5
Fruit (ND),Bataan,2015,122.8
Fruit (ND),Bulacan,2015,111.6
Fruit (ND),Nueva Ecija,2015,118.5
Fruit (ND),Pampanga,2015,121.4
Fruit (ND),Tarlac,2015,113.2
Fruit (ND),Zambales,2015,103.7
Fruit (ND),Aurora,2015,112.0
Fruit (ND),Region IV-A (CALABARZON),2015,121.7
Fruit (ND),Batangas,2015,112.3
Fruit (ND),Cavite,2015,124.6
Fruit (ND),Laguna,2015,118.2
Fruit (ND),Quezon,2015,128.2
Fruit (ND),Rizal,2015,125.6
Fruit (ND),Region IV-B (MIMAROPA),2015,123.4
Fruit (ND),Marinduque,2015,120.9
Fruit (ND),Mindoro Occidental,2015,123.5
Fruit (ND),Mindoro Oriental,2015,122.8
Fruit (ND),Palawan,2015,125.2
Fruit (ND),Romblon,2015,120.8
Fruit (ND),Region V (Bicol Region),2015,115.7
Fruit (ND),Albay,2015,117.5
Fruit (ND),Camarines Norte,2015,113.1
Fruit (ND),Camarines Sur,2015,118.6
Fruit (ND),Catanduanes,2015,108.0
Fruit (ND),Masbate,2015,105.8
Fruit (ND),Sorsogon,2015,121.5
